,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
2062,20160729,HPG,44500.0,44000.0,44600.0,44800.0,6189170,1289.7602680515774,66.42138927658303,188.71842196331832,43.92042567836981,0.0
2063,20160729,KDH,23200.0,22900.0,22900.0,23200.0,142000,5.147364464952261,53.93644973647612,102.32558139535232,2.7169623596083694,0.0
2064,20160729,MBB,15000.0,15000.0,15200.0,15200.0,384340,-18.58983730626096,47.84913032649504,-18.145161290314896,12.374557464463482,0.0
2065,20160729,MSN,64000.0,64000.0,64500.0,66000.0,726220,-683.1665306107025,36.84683497366826,-220.43258168431427,33.538727001377424,0.0
2066,20160729,MWG,134000.0,133000.0,133000.0,136000.0,102870,5386.109528359622,66.2175660996875,55.23175131834568,42.427272062958394,0.0
2067,20160729,PDR,12800.0,12700.0,12800.0,12800.0,1584780,-377.6547391409458,40.13922328435969,-74.99999999999999,9.206879265347956,0.0
2068,20160729,PNJ,64000.0,64000.0,65000.0,65500.0,71040,-1805.5959914002888,45.961969816186304,-138.94080996884742,13.772705931874366,0.0
2069,20160729,SSI,22900.0,22900.0,23100.0,23500.0,1295130,327.1117709319442,55.11959583691897,50.617615467239204,8.93217491788152,0.0
2070,20160729,STB,11300.0,11000.0,11000.0,11300.0,1192360,-50.19873006621128,50.20782152824557,-80.80808080807921,5.90610623816315,0.0
2071,20160729,VCB,54000.0,53500.0,54500.0,55000.0,225610,1415.6193457396512,58.434692541456705,61.440773715370895,36.41557310637694,0.0
2072,20160729,VIC,51000.0,51000.0,52500.0,52500.0,359260,-219.96164807208697,48.98714061232931,10.352636687156025,12.59038056934565,0.0
2073,20160729,VNM,158000.0,158000.0,160000.0,161000.0,1004950,4462.386673811736,65.10768779995598,131.47792706333985,49.487853534233835,0.0
2074,20160801,BID,17600.0,17400.0,17800.0,17800.0,707890,-94.25321676592284,47.84018087482637,-36.08847497089815,3.860740620808946,0.0
2075,20160801,BVH,58500.0,58500.0,59500.0,59500.0,133060,-442.40000215391046,47.61511662819521,-83.07533539731821,14.520856087271666,0.0
2076,20160801,CTG,17700.0,17600.0,17800.0,17800.0,609860,105.2122539445445,51.62314274363529,17.087062652565727,4.751266844531425,0.0
