Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,671.05,671.05,628.46,632.86,632.86,81060000
2020-03-24,632.63,633.97,619.07,625.43,625.43,85900000
2020-03-25,625.83,652.31,625.83,652.31,652.31,86270000
2020-03-26,651.94,655.06,639.02,646.7,646.7,74100000
2020-03-27,646.61,649.17,633.41,642.23,642.23,102650000
2020-03-30,641.92,641.92,605,613.02,613.02,81040000
2020-03-31,613.33,629.08,598.6,610.76,610.76,77470000
2020-4-1,609.35,631.6,606.03,628.79,628.79,73250000
2020-4-3,630.37,649.15,630.37,649.15,649.15,84130000
2020-4-6,649.15,682.65,649.15,682.65,682.65,127160000
2020-4-7,682.65,695.45,677.03,693.61,693.61,117080000
2020-4-8,693.66,693.66,675.26,691.17,691.17,76670000
2020-4-9,691.17,704.18,691.17,697.85,697.85,111270000
2020-4-10,697.9,701.77,687.18,695.74,695.74,146870000
2020-04-13,695.84,714.58,695.84,706.37,706.37,82300000
2020-04-14,706.37,713.81,699.03,713.81,713.81,94920000
2020-04-15,714.39,726.2,714.39,722.8,722.8,91990000
2020-04-16,721.73,726.71,714.52,726.57,726.57,72700000
2020-04-17,727.51,736.17,727.51,734.98,734.98,100570000
2020-04-20,736.1,742.27,729.52,736.31,736.31,99010000
2020-04-21,734.14,734.14,702.61,706.65,706.65,128950000
2020-04-22,706.54,718.62,692.03,714.42,714.42,86110000
2020-04-23,715.62,729.99,715.62,717.49,717.49,63430000
2020-04-24,717.49,725.52,711.14,725.05,725.05,64550000
2020-04-27,724.76,735.28,719.66,719.66,719.66,81800000
2020-04-28,719.45,721.73,711.84,715.74,715.74,64780000
2020-04-29,715.74,719.18,713.62,715.33,715.33,69760000
2020-5-4,714.9,716.05,706.47,709.35,709.35,65870000
2020-5-5,710.22,714.59,707.49,711.01,711.01,48700000
2020-5-6,711.34,725.94,709.77,725.94,725.94,77210000
2020-5-7,726.17,739.98,726.17,739.98,739.98,82600000
2020-5-8,740.14,773.22,740.14,760.15,760.15,146260000
2020-5-11,760.86,777.13,760.66,777.13,777.13,107520000
2020-5-12,777.35,783.77,766.7,782.45,782.45,104560000
2020-05-13,781.85,788.06,760.2,783.69,783.69,122450000
2020-05-14,783.69,785.1,773.62,780.73,780.73,86240000
2020-05-15,780.73,785.26,771.25,773.95,773.95,80440000
2020-05-18,773.95,787.27,770.61,787.27,787.27,81990000
2020-05-19,787.53,808.17,787.53,799.31,799.31,119340000
2020-05-20,799.28,803.35,793.75,803.32,803.32,97440000
2020-05-21,803.57,815.55,802.49,815.55,815.55,134970000
2020-05-22,815.51,815.51,802.82,803.14,803.14,95160000
2020-05-25,803.35,809.12,799.23,807.25,807.25,81740000
2020-05-26,807.55,815.96,807.55,815.01,815.01,101930000
2020-05-27,816.04,821.36,801.36,801.36,801.36,119120000
2020-05-28,801.38,810.43,800.16,804.06,804.06,91470000
2020-05-29,804,808.83,801.46,806.23,806.23,76810000
2020-6-1,806.44,821.47,806.44,821.47,821.47,176780000
2020-6-2,821.89,827.11,818.12,818.7,818.7,147390000
2020-6-3,819.02,824.54,818.33,824.29,824.29,89260000
2020-6-4,824.3,831.49,823.51,823.77,823.77,135470000
2020-6-5,823.46,826.47,818.33,826.47,826.47,147690000
2020-6-8,826.79,845.63,826.79,838.52,838.52,155920000
2020-6-9,839.19,843.58,836.13,837.02,837.02,152490000
2020-6-10,836.8,842.21,827.6,839.11,839.11,164040000
2020-6-11,839.11,842.76,806.64,806.87,806.87,191850000
2020-6-12,803.11,807.76,782.7,807.76,807.76,183060000
2020-06-15,808.58,813.59,778.71,778.71,778.71,141900000
2020-06-16,779.8,801.42,779.8,798.82,798.82,84860000
2020-06-17,798.82,802.06,793.2,796.43,796.43,76200000
2020-06-18,795.84,800.03,788.72,797.08,797.08,58890000
2020-06-19,797.21,808.28,797.03,808.28,808.28,81050000
2020-06-22,808.58,812.99,805.24,809.97,809.97,68480000
2020-06-23,809.53,812.24,803.96,807.61,807.61,95810000
2020-06-24,807.9,813.47,799.35,801.62,801.62,74690000
2020-06-25,801.29,801.29,791.38,796.51,796.51,74550000
2020-06-26,796.7,803.88,793.08,795.53,795.53,53640000
2020-06-29,795.11,795.11,768.99,774.81,774.81,97110000
2020-06-30,774.84,784.44,765.62,770.53,770.53,74260000
2020-7-1,770.23,787.38,770.02,786.82,786.82,56960000
2020-7-2,786.82,788.88,781.45,785.59,785.59,54060000
2020-7-3,785.81,790.3,785.81,789.87,789.87,43300000
2020-7-6,790.08,803.76,790.08,803.46,803.46,74210000
2020-7-7,803.61,812.48,803.61,805.68,805.68,87360000
2020-7-8,805.67,807.09,801.57,805.06,805.06,52130000
2020-7-9,805.12,819.45,805.12,817.08,817.08,81030000
2020-7-10,816.76,817.67,806.67,809.02,809.02,71220000
2020-07-13,809.03,814.35,802.5,806.17,806.17,65610000
2020-07-14,805.21,805.92,798.21,805.37,805.37,60120000
2020-07-15,805.38,815.09,805.38,810.16,810.16,53470000
2020-07-16,810.16,819.83,809.41,819.83,819.83,64520000
2020-07-17,819.27,819.27,812.61,814.16,814.16,65440000
2020-07-20,814,814,803.36,803.36,803.36,69310000
2020-07-21,803.55,806.34,799.98,804.7,804.7,62630000
2020-07-22,804.26,806.93,797.82,797.85,797.85,65220000
2020-07-23,797.85,800.29,794.59,800.29,800.29,73620000
2020-07-24,798.89,798.89,760.56,772.29,772.29,142230000
2020-07-27,767.3,767.3,726.02,729.93,729.93,127330000
2020-07-28,730.55,757.5,730.55,756.17,756.17,106760000
2020-07-29,755.14,755.14,722.85,735.16,735.16,95380000
2020-07-30,735.3,746.74,735.3,746.02,746.02,51150000
2020-07-31,745.33,747.56,731.14,740.73,740.73,58080000
2020-8-3,740.33,758.3,738.64,757.86,757.86,75710000
2020-8-4,759.19,768.46,759.19,768.22,768.22,62080000
2020-8-5,768.22,782.09,761.26,780.71,780.71,84980000
2020-8-6,780.69,787.27,776.04,781.6,781.6,64070000
2020-8-7,781.61,785.99,778.45,782.15,782.15,68200000
2020-8-10,782.5,791.67,782.5,784.3,784.3,79380000
2020-8-11,784.74,788.92,781.04,784.57,784.57,60220000
2020-8-12,784.58,790.01,784.23,788.42,788.42,71950000
2020-08-13,789.26,795.69,789.26,795.09,795.09,62110000
2020-08-14,795.13,801.61,789.12,791.98,791.98,85640000
2020-08-17,791.89,793.61,782.52,791.54,791.54,57170000
2020-08-18,791.6,792.13,784.93,786.95,786.95,41660000
2020-08-19,787.23,791.85,786.01,789.41,789.41,51470000
2020-08-20,789.41,793.35,783.57,786.11,786.11,65870000
2020-08-21,786.14,795.05,786.14,793.6,793.6,78120000
2020-08-24,793.46,810.17,793.46,809.69,809.69,102480000
2020-08-25,809.34,818.94,809.34,815.18,815.18,107200000
2020-08-26,815.19,816.68,811.45,812.36,812.36,89050000
2020-08-27,812.47,814.64,810.68,814.55,814.55,72350000
2020-08-28,814.55,828.88,814.55,821.93,821.93,102830000
2020-08-31,822.01,831.76,820.66,823.93,823.93,82420000
2020-9-1,823.93,832.87,821.74,832.03,832.03,78820000
2020-9-3,832.27,844.27,832.27,843.64,843.64,104710000
2020-9-4,843.22,843.22,833.54,840.54,840.54,103340000
2020-9-7,840.64,843.8,824.36,824.36,824.36,98250000
2020-9-8,824.62,829.22,819.02,827.57,827.57,81330000
2020-9-9,827.5,828.38,816.51,824.42,824.42,82990000
2020-9-10,824.42,832.61,824.42,825.85,825.85,67660000
2020-9-11,825.81,827.83,821.97,825.56,825.56,64100000
2020-09-14,825.69,833.09,825.69,832.24,832.24,65500000
2020-09-15,832.27,835.42,831.13,833.33,833.33,87510000
2020-09-16,833.31,834.52,831.33,834.5,834.5,54110000
2020-09-17,834.6,837.76,829.08,831.84,831.84,96610000
2020-09-18,831.84,842.1,831.84,841.26,841.26,94170000
2020-09-21,841.28,852.65,841.28,851.54,851.54,106120000
2020-09-22,851.54,854.69,846.03,852.72,852.72,130390000
2020-09-23,852.88,860.34,852.88,858.3,858.3,111920000
2020-09-24,858.14,858.89,852.29,853.21,853.21,90210000
2020-09-25,853.19,856.79,850.1,854.71,854.71,105360000
2020-09-28,854.84,863.98,854.84,863.31,863.31,134680000
2020-09-29,863.59,871.99,856.2,856.2,856.2,135080000
2020-09-30,856.2,860.1,852.54,858.54,858.54,104920000
2020-10-1,859.27,868.3,859.27,867.58,867.58,106520000
2020-10-2,867.58,870.8,850.61,861.51,861.51,164530000
2020-10-5,861.51,869.09,861.51,867.7,867.7,115090000
2020-10-6,867.74,872.39,866.12,871.37,871.37,148280000
2020-10-7,870.98,876.31,867.06,870.85,870.85,157150000
2020-10-8,870.88,873.13,864.55,869.82,869.82,139810000
2020-10-9,869.8,875.52,868.36,874.53,874.53,115720000
2020-10-12,874.72,882.84,871.58,874.9,874.9,130260000
2020-10-13,874.58,879.25,872.36,878.35,878.35,103920000
2020-10-14,878.94,892.25,878.94,892.15,892.15,176570000
2020-10-15,896.5,901.71,893.94,899.2,899.2,167590000
2020-10-16,899.58,906.17,892.7,901.59,901.59,157350000
2020-10-19,899.61,906.16,899.61,903.51,903.51,142170000
2020-10-20,903.57,909.49,899.42,909.49,909.49,179990000
2020-10-21,909.49,918.14,905.08,906.1,906.1,152210000
2020-10-22,906.1,918.3,901.96,918.3,918.3,133650000
2020-10-23,918.84,930.59,918.84,930.3,930.3,163040000
2020-10-26,929.5,942.72,919.56,919.56,919.56,167430000
2020-10-27,919.56,926.52,914.72,915.46,915.46,189910000
2020-10-28,913.31,916,888.88,888.88,888.88,183440000
2020-10-29,887.99,894.19,879.74,886.68,886.68,151630000
2020-10-30,887.34,893.42,875.84,892.55,892.55,130030000
2020-11-2,892.68,900.03,889.83,899.27,899.27,83560000
2020-11-3,899.73,904.78,897.3,902.14,902.14,110880000
2020-11-4,902.38,910.59,900.74,905.48,905.48,112220000
2020-11-5,905.55,913.2,903.64,903.64,903.64,97630000
2020-11-6,903.68,907.67,899.51,902.91,902.91,79120000
2020-11-9,902.91,917.42,902.91,917.42,917.42,108930000
2020-11-10,917.45,929.66,916.5,916.5,916.5,137870000
2020-11-11,916.98,919.95,910.39,916.68,916.68,114390000
2020-11-12,916.89,923,916.21,923,923,85350000
2020-11-13,923.04,931.2,923,931.2,931.2,122990000
2020-11-16,931.4,939.1,915.23,915.97,915.97,173010000
2020-11-17,916.25,934.65,916.25,934.65,934.65,129180000
2020-11-18,935.24,939.62,931.18,937.67,937.67,153570000
2020-11-19,938.6,945.06,936.32,944.92,944.92,166090000
2020-11-20,944.85,950.89,942.28,950.89,950.89,125700000
2020-11-23,950.98,961.35,946.14,960.03,960.03,164650000
2020-11-24,959.99,964.53,948.67,959.61,959.61,184870000
2020-11-25,959.68,963.81,957.09,960.63,960.63,175120000
2020-11-26,960.29,964.16,953.46,964.16,964.16,156140000
2020-11-27,964.32,971.11,963.69,971.11,971.11,142660000
2020-11-30,971.39,975.46,965.89,965.89,965.89,168720000
2020-12-1,963.57,976.44,951.92,976.35,976.35,213410000
2020-12-2,976.27,981.28,973.58,979.95,979.95,187860000
2020-12-3,980.17,986.4,978.16,985.44,985.44,183520000
2020-12-4,985.91,988.68,983.03,984.34,984.34,182020000
2020-12-7,984.25,992.59,984.07,992.01,992.01,148300000
2020-12-8,992.01,996.64,988.71,993.61,993.61,153450000
2020-12-9,993.61,1004.61,993.61,1004.03,1004.03,180900000
2020-12-10,1004.42,1008.6,994.28,994.28,994.28,173560000
2020-12-11,994.34,1008.65,994.29,1008.65,1008.65,127660000
2020-12-14,1008.86,1024.28,1008.86,1024.28,1024.28,160380000
2020-12-15,1024.4,1025.34,1009.8,1013.02,1013.02,173340000
2020-12-16,1013.66,1029.72,1013.66,1029.72,1029.72,178530000
2020-12-17,1028.63,1028.63,1015.86,1016.95,1016.95,226640000
2020-12-18,1016.95,1037.98,1016.95,1036.65,1036.65,183610000
2020-12-21,1038,1052.85,1038,1049.71,1049.71,187660000
2020-12-22,1051.17,1053.81,1043.8,1052.23,1052.23,204620000
2020-12-23,1053.89,1058.91,1043.88,1045.7,1045.7,203330000
2020-12-24,1045.97,1051.56,1013.9,1033.95,1033.95,212710000
2020-12-25,1033.86,1052.16,1026.05,1052.13,1052.13,161860000
2020-12-28,1053.37,1063.09,1047.45,1054.23,1054.23,190250000
2020-12-29,1054.23,1062.61,1050.05,1058.39,1058.39,153420000
2020-12-30,1059.2,1069.5,1055.25,1059.16,1059.16,173020000
2020-12-31,1059.16,1074.02,1058.9,1070.77,1070.77,136030000
2021-1-4,1072.44,1097.61,1072.44,1091.87,1091.87,233730000
2021-1-5,1090.71,1106.29,1086.07,1104.3,1104.3,191640000
2021-1-6,1105.74,1125.63,1104.99,1113.72,1113.72,225230000
2021-1-7,1113.88,1130.59,1113.88,1130.59,1130.59,215400000
2021-1-8,1131,1156.38,1131,1147.86,1147.86,220090000
2021-1-11,1148.06,1165.99,1148.06,1163.4,1163.4,222790000
2021-1-12,1163.44,1169.38,1155.9,1169.03,1169.03,202520000
2021-01-13,1169.16,1178.44,1161.87,1164.57,1164.57,187360000
2021-01-14,1165.22,1169.97,1156.58,1168.99,1168.99,229620000
2021-01-15,1169.27,1185.46,1169.27,1182.2,1182.2,211720000
2021-01-18,1183.25,1188.53,1171.96,1173.34,1173.34,199290000
2021-01-19,1173.27,1173.61,1098.47,1107.32,1107.32,324710000
2021-01-20,1108.92,1121.97,1073.13,1116.21,1116.21,262600000
2021-01-21,1116.21,1152.9,1114.26,1151.3,1151.3,204600000
2021-01-22,1151.3,1164.45,1147.88,1156.58,1156.58,210390000
2021-01-25,1156.55,1164.7,1149.26,1154.29,1154.29,198480000
2021-01-26,1153.94,1155.32,1107.54,1125.09,1125.09,236710000
2021-01-27,1122.92,1125.25,1073.74,1083.63,1083.63,241010000
2021-01-28,1080.83,1080.83,1008.53,1010.75,1010.75,282130000
2021-01-29,1009.96,1070.05,978.85,1048.31,1048.31,242650000
2021-2-1,1048.01,1068.93,1029.21,1029.86,1029.86,175340000
2021-2-2,1029.55,1079.87,1025.18,1079.7,1079.7,162840000
2021-2-3,1080.23,1122.04,1080.23,1117.98,1117.98,204900000
2021-2-4,1117.52,1126.64,1103.11,1117.74,1117.74,155640000
2021-2-5,1117.92,1135.5,1117.92,1135.5,1135.5,139780000
2021-2-8,1135.5,1136.38,1077.4,1092.59,1092.59,228470000
2021-2-9,1092.67,1129.49,1089.85,1129.49,1129.49,173190000
2021-02-17,1130.19,1174.91,1130.19,1174.91,1174.91,174120000
2021-02-18,1174.8,1187.94,1162.48,1187.94,1187.94,183250000
2021-02-19,1186.7,1188.61,1168.18,1180.59,1180.59,166180000
2021-02-22,1180.48,1190.48,1172.71,1180.55,1180.55,175260000
2021-02-23,1180.38,1191.74,1174.18,1182.47,1182.47,195050000
2021-02-24,1182.76,1192.04,1161.13,1167.18,1167.18,178720000
2021-02-25,1168.22,1175.19,1158.06,1169.82,1169.82,158380000
2021-02-26,1169.37,1175.4,1153.41,1173.6,1173.6,178990000
2021-3-1,1173.72,1192.85,1173.72,1191.83,1191.83,191030000
2021-3-2,1192.6,1203.84,1188.01,1194.71,1194.71,169420000
2021-3-3,1194.78,1198.36,1189.14,1195.6,1195.6,154440000
2021-3-4,1195.62,1200.42,1164.63,1174.29,1174.29,183130000
2021-3-5,1174.36,1174.8,1157.45,1173.83,1173.83,205210000
2021-3-8,1175.19,1186.29,1164.78,1170,1170,164930000
2021-3-9,1169.89,1169.89,1150.18,1163,1163,159980000
2021-3-10,1163.43,1173.58,1154.29,1172.26,1172.26,156010000
2021-3-11,1172.94,1190.47,1172.94,1188.71,1188.71,167310000
2021-3-12,1188.74,1193.97,1184.64,1187.81,1187.81,147250000
2021-03-15,1187.84,1194.29,1184.32,1190.86,1190.86,149680000
2021-03-16,1191.08,1192.15,1177.05,1187.84,1187.84,163860000
2021-03-17,1188.31,1193.45,1183.83,1193.45,1193.45,193600000
2021-03-18,1193.71,1211.54,1193.71,1211.54,1211.54,155170000
2021-03-19,1211.08,1211.08,1201.17,1203.36,1203.36,171420000
2021-03-22,1204,1207.28,1194.79,1198.54,1198.54,161300000
2021-03-23,1198.49,1198.49,1182.22,1186.98,1186.98,155690000
2021-03-24,1186.04,1186.04,1157.69,1165.61,1165.61,190250000
2021-03-25,1165.8,1175.86,1159.25,1164.64,1164.64,165900000
2021-03-26,1164.38,1170.75,1143.08,1167.19,1167.19,172710000
2021-03-29,1167.3,1182.06,1167.3,1180.07,1180.07,145670000
2021-03-30,1180.21,1192.9,1175.9,1190.86,1190.86,217510000
2021-03-31,1190.86,1203.18,1189.47,1196.24,1196.24,171900000
2021-4-1,1196.62,1227.56,1196.39,1226.16,1226.16,222240000
2021-4-2,1226.84,1243.67,1226.84,1238.03,1238.03,199250000
2021-4-5,1240.24,1256.12,1240.24,1249.9,1249.9,219160000
2021-4-6,1248.43,1260.35,1245.16,1255.36,1255.36,222980000
2021-4-7,1255.36,1257.77,1248.15,1257.77,1257.77,213310000
2021-4-8,1257.75,1263.03,1249.45,1251.81,1251.81,161340000
2021-4-9,1251.71,1256.06,1245.26,1253.26,1253.26,173790000
2021-4-12,1254.39,1279.52,1254.39,1278.19,1278.19,267960000
2021-04-13,1278.31,1298.78,1276.74,1277.35,1277.35,255770000
2021-04-14,1277.31,1290.77,1263.89,1290.77,1290.77,207520000
2021-04-15,1291.83,1300.84,1283.98,1284.2,1284.2,236680000
2021-04-16,1283.18,1291.37,1262.52,1276.87,1276.87,247670000
2021-04-19,1277.11,1306.22,1271.52,1306.22,1306.22,210600000
